Region,Year,Annual,Rabi,Kharif
COASTAL KARNATAKA,1901,254.7416667,92.33333333,162.4
COASTAL KARNATAKA,1902,308.2666667,64.3,243.9666667
COASTAL KARNATAKA,1903,276.45,62.00833333,214.4416666
COASTAL KARNATAKA,1904,261.7583333,102.6916667,159.0666667
COASTAL KARNATAKA,1905,221.025,71.41666667,149.6166666
COASTAL KARNATAKA,1906,236.3333333,53.90833334,182.425
COASTAL KARNATAKA,1907,294.6,80.49166667,214.1083333
COASTAL KARNATAKA,1908,304.6250001,66.39166667,238.2333333
COASTAL KARNATAKA,1909,264.4083333,96.51666667,167.8999999
COASTAL KARNATAKA,1910,251.7333333,91.13333333,160.6
COASTAL KARNATAKA,1911,210.1916667,68.64166667,141.55
COASTAL KARNATAKA,1912,282.9916667,73.6,209.4083333
COASTAL KARNATAKA,1913,236.3583333,72.68333333,163.6666668
COASTAL KARNATAKA,1914,322.725,65.60833333,257.125
COASTAL KARNATAKA,1915,220.7250001,76.11666666,144.6250001
COASTAL KARNATAKA,1916,288.9916667,97.13333333,191.85
COASTAL KARNATAKA,1917,285.3416668,97.95,187.3833333
COASTAL KARNATAKA,1918,209.2416667,106.9083333,102.3333333
COASTAL KARNATAKA,1919,243.175,62.225,180.9499999
COASTAL KARNATAKA,1920,232.4333333,76.44999999,155.9833333
COASTAL KARNATAKA,1921,250.6166667,66.40833333,184.2083333
COASTAL KARNATAKA,1922,277.7166667,78.40833333,199.3083333
COASTAL KARNATAKA,1923,306.7583333,58.38333333,248.375
COASTAL KARNATAKA,1924,294.075,83.13333333,210.9333333
COASTAL KARNATAKA,1925,298.4416667,115.9083333,182.5416667
COASTAL KARNATAKA,1926,246.3666667,60.275,186.0916667
COASTAL KARNATAKA,1927,268.0333333,65.46666666,202.5583333
COASTAL KARNATAKA,1928,278.2999999,79.09166667,199.2083333
COASTAL KARNATAKA,1929,305.3000001,132.2083333,173.075
COASTAL KARNATAKA,1930,242.75,91.925,150.8083333
COASTAL KARNATAKA,1931,320.1999999,66.19166668,254.0166667
COASTAL KARNATAKA,1932,285.2833333,78.52499999,206.7583334
COASTAL KARNATAKA,1933,344.9583333,121.525,223.425
COASTAL KARNATAKA,1934,250.9833333,95.41666667,155.5666667
COASTAL KARNATAKA,1935,240.5,59.43333333,181.075
COASTAL KARNATAKA,1936,277.0583333,104.4333333,172.6333333
COASTAL KARNATAKA,1937,276.1833333,73.90833333,202.275
COASTAL KARNATAKA,1938,262.575,101.8583333,160.7166666
COASTAL KARNATAKA,1939,228.6833334,64.61666667,164.0666666
COASTAL KARNATAKA,1940,310.3249999,72.66666667,237.6666667
COASTAL KARNATAKA,1941,209.5916666,79.92499999,129.6666667
COASTAL KARNATAKA,1942,291.8833333,104.7083333,187.1916667
COASTAL KARNATAKA,1943,298.1000001,119.125,178.9666667
COASTAL KARNATAKA,1944,248.7083334,75.54166668,173.175
COASTAL KARNATAKA,1945,256.6083333,72.625,183.9916667
COASTAL KARNATAKA,1946,336.7833333,112.9083333,223.875
COASTAL KARNATAKA,1947,278.1666667,59.94166667,218.25
COASTAL KARNATAKA,1948,302.2166667,82.95,219.2666667
COASTAL KARNATAKA,1949,280.1999999,83.43333333,196.775
COASTAL KARNATAKA,1950,313.8416667,74.66666666,239.175
COASTAL KARNATAKA,1951,260.3583333,88.93333333,171.425
COASTAL KARNATAKA,1952,241.3833333,86.06666667,155.3166667
COASTAL KARNATAKA,1953,288.6083333,60.275,228.3333333
COASTAL KARNATAKA,1954,318.4583333,100.6166667,217.85
COASTAL KARNATAKA,1955,296.0416667,113.1583333,182.8833333
COASTAL KARNATAKA,1956,321.3833333,124.4916667,196.875
COASTAL KARNATAKA,1957,264.5666667,77.81666667,186.7500001
COASTAL KARNATAKA,1958,307.2833334,105.425,201.8666667
COASTAL KARNATAKA,1959,360.9,102.4333333,258.475
COASTAL KARNATAKA,1960,292.0166667,102.7916667,189.2333333
COASTAL KARNATAKA,1961,462.825,141.3833333,321.4416668
COASTAL KARNATAKA,1962,334.8083333,66.67500001,268.125
COASTAL KARNATAKA,1963,264.275,69.76666667,194.525
COASTAL KARNATAKA,1964,261.7083334,55.29166667,206.4083333
