Region,Year,Annual,Rabi,Kharif
NORTH INTERIOR KARNATAKA,1901,64.41666667,23.55,40.85833333
NORTH INTERIOR KARNATAKA,1902,59.675,14.04166666,45.63333333
NORTH INTERIOR KARNATAKA,1903,77.37500001,13.89166667,63.48333333
NORTH INTERIOR KARNATAKA,1904,48.21666668,15.575,32.64166667
NORTH INTERIOR KARNATAKA,1905,42.18333333,14.61666667,27.575
NORTH INTERIOR KARNATAKA,1906,65.31666667,16.34166667,48.98333333
NORTH INTERIOR KARNATAKA,1907,62.225,17.19166667,45.03333333
NORTH INTERIOR KARNATAKA,1908,49.59166667,8.608333333,40.98333333
NORTH INTERIOR KARNATAKA,1909,56.31666668,15.83333334,40.48333333
NORTH INTERIOR KARNATAKA,1910,63.28333333,9.45,53.84166667
NORTH INTERIOR KARNATAKA,1911,42.5,11.58333333,30.91666668
NORTH INTERIOR KARNATAKA,1912,63.225,11.41666667,51.81666667
NORTH INTERIOR KARNATAKA,1913,47.69166668,16.49166667,31.19999999
NORTH INTERIOR KARNATAKA,1914,68.73333333,10.725,58.01666667
NORTH INTERIOR KARNATAKA,1915,62.77500001,19.53333333,43.24166667
NORTH INTERIOR KARNATAKA,1916,90.65833333,15.13333333,75.525
NORTH INTERIOR KARNATAKA,1917,68.65000001,16.05833333,52.59999999
NORTH INTERIOR KARNATAKA,1918,44,15.95833333,28.05
NORTH INTERIOR KARNATAKA,1919,60.59166667,17.75833333,42.83333333
NORTH INTERIOR KARNATAKA,1920,39.19166667,11.275,27.92499999
NORTH INTERIOR KARNATAKA,1921,48.56666667,8.658333333,39.92499999
NORTH INTERIOR KARNATAKA,1922,42.41666667,13.95833333,28.45
NORTH INTERIOR KARNATAKA,1923,50.23333333,11.175,39.05
NORTH INTERIOR KARNATAKA,1924,49.26666667,11.95,37.31666667
NORTH INTERIOR KARNATAKA,1925,53.55,16.225,37.34166667
NORTH INTERIOR KARNATAKA,1926,48.41666667,11.25,37.16666667
