Region,Year,Annual,Rabi,Kharif
SOUTH INTERIOR KARNATAKA,1901,83.58333333,24,59.575
SOUTH INTERIOR KARNATAKA,1902,85.00833333,20.09166667,64.925
SOUTH INTERIOR KARNATAKA,1903,105.825,22.31666667,83.50833333
SOUTH INTERIOR KARNATAKA,1904,70.48333334,30.23333333,40.25833333
SOUTH INTERIOR KARNATAKA,1905,63.28333333,21.825,41.46666666
SOUTH INTERIOR KARNATAKA,1906,83.70833333,15.425,68.3
SOUTH INTERIOR KARNATAKA,1907,83.20833334,23.73333333,59.46666667
SOUTH INTERIOR KARNATAKA,1908,65.84999999,20.75833333,45.08333334
SOUTH INTERIOR KARNATAKA,1909,90.61666667,31.275,59.33333333
SOUTH INTERIOR KARNATAKA,1910,96.44166667,20.85833333,75.56666667
SOUTH INTERIOR KARNATAKA,1911,75.525,27.74166667,47.78333334
SOUTH INTERIOR KARNATAKA,1912,95.85,21.075,74.75
SOUTH INTERIOR KARNATAKA,1913,73.03333333,20.10833333,52.91666667
SOUTH INTERIOR KARNATAKA,1914,77.22499999,12.54166667,64.68333333
SOUTH INTERIOR KARNATAKA,1915,85.99166667,31.43333333,54.54166667
SOUTH INTERIOR KARNATAKA,1916,102.5583333,29.54166667,73.00833333
SOUTH INTERIOR KARNATAKA,1917,91.19166667,23.95,67.24166667
SOUTH INTERIOR KARNATAKA,1918,61.10833333,20.49999999,40.61666667
SOUTH INTERIOR KARNATAKA,1919,84.28333333,24.34166667,59.93333333
SOUTH INTERIOR KARNATAKA,1920,69.075,19.75,49.31666667
SOUTH INTERIOR KARNATAKA,1921,82.175,22.08333333,60.09166667
SOUTH INTERIOR KARNATAKA,1922,74.75833333,21.675,53.08333334
SOUTH INTERIOR KARNATAKA,1923,82.54166667,18.72500001,63.80833333
SOUTH INTERIOR KARNATAKA,1924,93.91666667,22.26666667,71.65833333
SOUTH INTERIOR KARNATAKA,1925,81.84999999,27.6,54.26666667
SOUTH INTERIOR KARNATAKA,1926,74.75,18.475,56.275
SOUTH INTERIOR KARNATAKA,1927,71.97500001,17.98333333,54.00000001
SOUTH INTERIOR KARNATAKA,1928,79.20833334,24.20833333,54.99166667
SOUTH INTERIOR KARNATAKA,1929,86.24166667,33.25,53
SOUTH INTERIOR KARNATAKA,1930,82.77500001,27.775,55.00833333
SOUTH INTERIOR KARNATAKA,1931,84.38333333,20.59999999,63.775
SOUTH INTERIOR KARNATAKA,1932,105.8416667,22.90833333,82.94166667
SOUTH INTERIOR KARNATAKA,1933,110.7666667,31.09166667,79.65833333
SOUTH INTERIOR KARNATAKA,1934,65.525,20.85833333,44.66666667
SOUTH INTERIOR KARNATAKA,1935,79.54166668,19.64166668,59.91666667
SOUTH INTERIOR KARNATAKA,1936,79.86666667,28.65833333,51.19999999
SOUTH INTERIOR KARNATAKA,1937,75.93333333,24.70833333,51.21666667
SOUTH INTERIOR KARNATAKA,1938,72.61666667,21.01666667,51.6
SOUTH INTERIOR KARNATAKA,1939,85.38333333,19.06666667,66.30833333
SOUTH INTERIOR KARNATAKA,1940,98.33333333,31.40000001,66.93333333
SOUTH INTERIOR KARNATAKA,1941,78.13333333,23.19166667,54.94166667
SOUTH INTERIOR KARNATAKA,1942,77.74166667,25.22499999,52.50833334
SOUTH INTERIOR KARNATAKA,1943,94.75833333,29.64166667,65.11666667
SOUTH INTERIOR KARNATAKA,1944,85.475,23.475,61.99166667
SOUTH INTERIOR KARNATAKA,1945,66.025,19.16666667,46.86666668
SOUTH INTERIOR KARNATAKA,1946,103.75,26.125,77.63333333
SOUTH INTERIOR KARNATAKA,1947,79.85833333,15.25833334,64.59999999
SOUTH INTERIOR KARNATAKA,1948,89.50833333,30.62499999,58.88333333
SOUTH INTERIOR KARNATAKA,1949,73.03333333,18.50833333,54.53333334
SOUTH INTERIOR KARNATAKA,1950,79.70833333,14.43333333,65.26666667
SOUTH INTERIOR KARNATAKA,1951,77.10833333,26.75,50.35833333
SOUTH INTERIOR KARNATAKA,1952,72.65000001,19.6,53.05
SOUTH INTERIOR KARNATAKA,1953,104.6583333,22.70833333,81.95833333
