state,district,crop,area,production
Karnataka,BAGALKOTE,arhar/tur dal,6144,2673
Karnataka,BAGALKOTE,coconut,743,6630
Karnataka,BAGALKOTE,cotton,3299,8996
Karnataka,BAGALKOTE,cowpea,83,36
Karnataka,BAGALKOTE,gram,91880,54728
Karnataka,BAGALKOTE,groundnut,1406,1344
Karnataka,BAGALKOTE,jowar,965,1492
Karnataka,BAGALKOTE,Maize,44472,166543
Karnataka,BAGALKOTE,moong dal,22974,4081
Karnataka,BAGALKOTE,onion,10969,82750
Karnataka,BAGALKOTE,rice,25,76
Karnataka,BAGALKOTE,soyabean,2505,2401
Karnataka,BAGALKOTE,sugarcane,93679,10234431
Karnataka,BAGALKOTE,sunflower,13020,8151
Karnataka,BAGALKOTE,turmeric,2164,15005
Karnataka,BAGALKOTE,urad,630,175
Karnataka,BAGALKOTE,wheat,23237,36071
Karnataka,BANGALORE RUR,arecanut,1519,14055
Karnataka,BANGALORE RUR,arhar/tur dal,1554,1736
Karnataka,BANGALORE RUR,coconut,2255,20123
Karnataka,BANGALORE RUR,cowpea,591,881
Karnataka,BANGALORE RUR,gram,270,194
Karnataka,BANGALORE RUR,groundnut,275,155
Karnataka,BANGALORE RUR,horsegram,452,222
Karnataka,BANGALORE RUR,Maize,14334,44066
Karnataka,BANGALORE RUR,moong dal,7,1
Karnataka,BANGALORE RUR,onion,69,354
Karnataka,BANGALORE RUR,potato,439,2702
Karnataka,BANGALORE RUR,ragi,35844,91940
Karnataka,BANGALORE RUR,rice,598,2093
Karnataka,BANGALORE RUR,sunflower,18,10
Karnataka,BANGALORE RUR,sweet potato,19,322
Karnataka,BANGALORE RUR,turmeric,1,6
Karnataka,BANGALORE RUR,urad,3,1
Karnataka,BELGAM,arecanut,7,65
Karnataka,BELGAM,arhar/tur dal,2869,2322
Karnataka,BELGAM,coconut,131,1169
Karnataka,BELGAM,cotton,39811,108785
Karnataka,BELGAM,cowpea,871,830
Karnataka,BELGAM,gram,78641,48934
Karnataka,BELGAM,groundnut,33675,30904
Karnataka,BELGAM,horsegram,940,250
Karnataka,BELGAM,jowar,20218,27793
Karnataka,BELGAM,jowar,64,135
Karnataka,BELGAM,Maize,119185,447468
Karnataka,BELGAM,moong dal,25848,4616
Karnataka,BELGAM,onion,10001,48132
Karnataka,BELGAM,potato,3616,34345
Karnataka,BELGAM,ragi,1032,1207
Karnataka,BELGAM,rice,59938,176688
Karnataka,BELGAM,soyabean,74314,67986
Karnataka,BELGAM,sugarcane,180571,16296533
Karnataka,BELGAM,sunflower,6253,4295
Karnataka,BELGAM,sweet potato,2135,38885
Karnataka,BELGAM,turmeric,1960,4943
Karnataka,BELGAM,urad,2705,601
Karnataka,BELGAM,wheat,46809,74085
Karnataka,BELLARY,arecanut,1,9
Karnataka,BELLARY,arhar/tur dal,3427,1319
Karnataka,BELLARY,coconut,555,4953
